C,Mn,Si,Cr,Ni,Mo,V,Co,Al,W,Cu,Nb,Ti,B,N,Ms
0.0,0.0,0.0,0.0,31.51694,0.0,0.0,0.0,0.0,0.0,1.16367,0.0,0.0,0.0,0.0,216.15
0.52,0.6,0.4,1.0,0.17,0.22,0.05,0.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,563.0
0.24,1.98,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0
0.45,1.34,1.45,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0
0.22,0.6,0.3,1.15,0.13,0.6,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,706.0
0.017,0.12,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.206,734.65
0.37,0.34,0.94,4.8,0.0,1.34,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0
0.21,1.19,0.48,0.05,0.06,0.01,0.009,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,671.0
0.44,1.64,0.06,1.64,1.84,0.4,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566.0
0.41,0.76,0.32,0.77,3.59,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0
0.31,0.65,0.3,0.12,0.05,0.5,0.03,0.0,0.051,0.0,0.08,0.0,0.0,0.0,0.0,699.0
0.45,0.59,0.28,0.05,0.06,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,673.0
0.39,0.71,0.39,0.0,3.53,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.0
0.24,0.0,0.0,3.0,11.0,1.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0
1.46,0.1,0.27,3.72,0.0,0.47,4.1,5.0,0.0,13.7,0.09,0.0,0.0,0.0,0.0,403.0
0.33,0.74,0.23,0.07,3.47,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0
0.4,0.6,0.25,0.65,2.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.0
0.92,0.31,0.35,4.1,0.0,4.9,1.88,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,422.0
0.0,0.0,0.0,0.0,31.08638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66769,0.0,0.0,209.15
0.11,0.41,0.23,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0
0.39,0.48,0.94,5.53,0.04,0.87,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535.0
0.4,0.6,0.25,1.2,1.5,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0
0.43,1.67,0.28,0.32,0.11,0.03,0.1,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,584.14286
0.16,1.53,0.36,0.003,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,693.0
0.42,0.89,0.3,0.52,0.58,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0
0.31,0.6,0.25,0.65,2.55,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.0
0.12,0.5,0.4,12.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.0
0.4,1.67,1.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0
0.87,0.3,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,470.0
0.23,0.56,0.27,0.15,2.06,0.01,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,658.0
0.5,0.75,0.35,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,553.0
0.2,0.7,0.57,1.18,0.23,1.15,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623.0
0.55,0.6,0.0,1.03,0.36,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.0
0.004,0.03,0.075,0.0,22.33029,0.0,0.0,0.0,0.75427,0.0,0.0,0.0,0.0,0.0,0.002,447.03889
0.42,0.68,0.16,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.37222
0.16,1.31,0.43,0.06,0.04,0.02,0.017,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,692.0
0.05,1.18,0.38,0.01,2.52,0.08,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0178,727.0
0.4,0.35,0.2,1.27,4.03,0.24,0.04,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,536.0
0.0,0.0,0.0,0.0,18.74661,3.85155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,494.15
0.44,0.8,0.31,0.96,0.46,0.05,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,583.0
0.38,0.64,0.23,0.99,0.08,0.16,0.01,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,633.0
0.42,0.72,0.0,0.99,0.05,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.0
0.64,0.73,0.82,1.26,0.05,0.0,0.16,0.0,0.006,0.0,0.03,0.0,0.0,0.0,0.012,473.0
0.42,0.16,0.44,13.4,0.27,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,478.0
0.35,0.86,1.55,1.5,0.23,0.58,0.07,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.022,595.0
0.19,1.37,0.14,0.2,0.56,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.5
0.19,1.44,0.37,0.1,0.08,0.01,0.17,0.0,0.03,0.0,0.2,0.0,0.0,0.0,0.01,673.0
0.96,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.0
0.85,0.0,0.0,4.0,0.0,0.75,2.1,0.0,0.0,18.5,0.0,0.0,0.0,0.0,0.0,466.0
0.44,0.79,1.63,2.1,0.0,0.54,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0
0.98,0.3,0.16,0.63,0.17,0.28,0.28,0.0,0.0,3.66,0.11,0.0,0.0,0.0,0.0,503.0
0.3,0.51,0.32,0.07,3.03,0.0,0.0,0.0,0.032,0.0,0.0,0.0,0.009,0.0,0.0,611.0
0.04,1.9,0.11,0.0,0.0,0.34,0.09,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.009,743.0
0.089,1.43,0.39,0.0,0.0,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.028,0.0,0.0031,738.0
0.35,0.656,0.23,1.11,0.23,0.05,0.01,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,633.0
0.29,0.4,0.85,12.32,0.18,0.1,0.05,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,538.0
0.26,0.6,0.14,3.25,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,634.0
0.33,0.39,0.16,1.09,3.6,0.72,0.12,0.0,0.009,0.0,0.09,0.013,0.002,0.0,0.0,565.0
0.18,1.28,0.4,0.0,0.0,0.0,0.09,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.018,680.0
0.25,0.52,0.15,1.14,3.33,0.65,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0
0.78,0.86,0.0,0.49,0.59,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,493.0
0.26,1.51,0.42,0.45,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.0
0.22,0.64,0.25,0.97,0.33,0.23,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,673.0
0.12,0.57,0.29,0.47,1.86,0.18,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,687.0
0.08,0.97,0.16,0.07,0.15,0.02,0.0,0.0,0.0,0.0,0.19,0.02,0.0,0.0,0.0095,738.0
0.24,1.58,0.2,0.24,0.2,0.02,0.0,0.018,0.0,0.0,0.12,0.0,0.0,0.0,0.0,638.0
0.11,0.38,0.44,5.46,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,707.0
0.11,1.24,0.17,0.18,0.21,0.15,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.0,717.0
0.2,1.25,0.25,1.15,0.15,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0
0.38,0.87,0.18,1.54,0.01,0.63,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549.0
0.43,1.67,0.28,0.32,0.11,0.03,0.1,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,583.0
0.004,0.03,0.075,0.0,22.32807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76412,0.0,0.002,455.37222
0.21,1.7,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0
0.15,0.36,0.44,2.24,0.09,0.85,0.0,0.0,0.097,0.0,0.23,0.0,0.01,0.0,0.0,658.0
0.93,0.5,0.26,3.65,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0
0.18,0.47,0.27,0.18,3.33,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.0
0.39,0.6,0.15,3.25,0.0,0.95,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,576.0
0.3,0.69,0.22,0.85,2.83,0.3,0.01,0.0,0.005,0.0,0.12,0.0,0.0,0.0,0.005,607.0
0.37,0.84,0.37,0.74,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0
0.64,0.39,0.67,1.2,0.0,0.0,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0.0,0.0,545.0
0.7,0.35,0.16,0.96,3.24,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.0
0.1,0.42,0.25,2.16,0.27,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669.0
0.13,0.46,0.26,0.78,3.69,0.04,0.0,0.0,0.012,0.0,0.16,0.0,0.0,0.0,0.0,693.0
0.45,0.89,0.0,0.66,0.59,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,574.0
0.13,1.4,0.48,0.04,0.03,0.0,0.0,0.0,0.023,0.0,0.15,0.0,0.0,0.0,0.0,658.0
0.5,0.35,1.0,0.11,0.19,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,573.0
0.4,0.35,0.22,1.27,4.03,0.24,0.04,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,543.0
0.11,0.37,0.22,0.0,0.0,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,731.0
0.004,0.03,0.51731,0.0,22.38361,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,458.15
0.24,1.06,0.21,0.79,0.18,0.02,0.1,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,693.0
0.06,2.33,0.38,0.4,0.01,0.01,0.08,0.0,0.035,0.0,0.01,0.048,0.0,0.0,0.0,781.0
0.38,0.85,0.33,0.74,1.46,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,607.0
0.36,1.47,0.41,0.76,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0
0.88,0.66,0.3,0.56,0.15,0.44,0.0,0.0,0.049,0.0,0.18,0.0,0.0,0.0,0.02,422.0
0.014,4.95,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258,540.15
0.38,0.37,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637.0
0.38,1.8,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,596.0
0.42,0.78,0.24,0.8,1.79,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.92778
0.41,0.74,0.4,0.75,4.56,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0
0.1,0.1,0.05,2.0,10.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605.0
0.14,0.55,0.25,0.6,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,691.0
0.3,0.48,2.2,10.5,0.12,1.0,0.012,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,528.0
0.21,0.78,0.0,0.99,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,662.0
0.25,2.25,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.0
0.18,0.81,0.26,0.49,0.4,0.17,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,634.0
0.014,4.95,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.387,506.65
2.0,0.65,0.3,0.12,0.05,0.5,0.03,0.0,0.051,0.0,0.08,0.0,0.0,0.0,0.0,455.0
